"","logFC.stage9","logFC.stage15","logFC.stage21","logFC.stage27","logFC.stage33","logFC.stage40","AveExpr","PValue","FDR","GeneName"
"P21709.EPHA1",-0.9883941870924,-1.47658660259174,-1.97226528100442,-1.05882012834125,-1.0145976557827,-1.19273372848127,14.7940910759637,0.0374074265691709,0.0425281343129325,"EPHA1"
"P21796.VDAC1",1.29858286545097,1.26017476368294,1.62130906904454,1.88748663510029,2.32563789507381,2.50903827928033,20.7448939578573,7.66007962742083e-10,3.02204603084239e-09,"VDAC1"
"P21817.RYR1",0.576025321216201,0.998440247705806,1.38701241073925,1.16403637833194,1.35010111670134,1.44650598011336,14.6197396073477,8.7272944061656e-06,1.597496839874e-05,"RYR1"
"P21953.BCKDHB",0.410533341596203,0.364070882157928,0.374036940107594,0.583102966307388,0.626344474368769,0.793014948821145,15.4726722352027,4.41075939113315e-05,7.31325808440249e-05,"BCKDHB"
"P21964.COMT",0.750963947463195,0.276824963392098,0.561881508968302,0.681353715560216,0.816090605487609,0.742572580715982,14.9969897081376,3.26769211175877e-05,5.51396444385863e-05,"COMT"
"P22033.MMUT",0.700276168068861,0.643003143370883,0.802119671713827,0.902427493497006,1.05968042018146,1.24880367256552,15.732766920533,4.38461560023483e-10,1.83366945502396e-09,"MMUT"
"P22059.OSBP",0.263427100471306,0.365227079830917,0.310994843472753,0.444136713906217,0.338324165517803,0.274371787532957,15.6183286554801,0.178971019778834,0.190561187726379,"OSBP"
"P22061.PCMT1",1.95519157195811,2.16074811124824,2.192683028044,2.23472913029476,2.25027911463487,2.26937902186158,19.0740013005238,1.27450151479472e-15,5.73348667558347e-14,"PCMT1"
"P22102.GART",-1.38580881065764,-1.49574721025048,-1.58893047356989,-1.52864498430101,-1.5888952933071,-1.61031665666579,16.6854298779069,1.00509504707389e-11,7.13926065235157e-11,"GART"
"P22223.CDH3",-0.622914254425872,-1.53533893423827,-0.456601699637834,-0.591791360171037,-0.479229204751606,-1.39706461364815,12.0670822050547,0.153426389991355,0.164443440497021,"CDH3"
"P22234.PAICS",-1.5935155140128,-2.31093356455955,-2.97028557040178,-3.32754700530153,-3.69019388377413,-3.73160936034324,17.4403419948855,3.69645687489444e-15,1.28051591634044e-13,"PAICS"
"P22303.ACHE",0.328725871222237,0.616655360779551,1.06732042184307,1.1895184989163,1.24480394223388,1.71574087381046,12.9616075722005,0.00015275307110836,0.000234375744822348,"ACHE"
"P22304.IDS",3.22216928246145,3.61006839437616,3.72526046178357,3.76731779438416,3.74931465125722,3.61294602042823,14.9397337596078,4.43627839710775e-14,8.23444454339942e-13,"IDS"
"P22307.SCP2",-0.82530261946162,-0.903111941815994,-0.455623974682057,0.180571485819923,0.366361531310306,0.574856545580654,15.9844953122712,1.0414518762832e-06,2.19613452296958e-06,"SCP2"
"P22314.UBA1",1.66855642398015,1.88302880527135,1.78187265541751,1.71214494552761,1.66725267672885,1.56056302873452,21.213151049715,4.18070722928131e-12,3.41521077317583e-11,"UBA1"
